rec;send;queue;id_1;id_2;my_id
1587121201142;1587121201101;4;0;2;271
1587121201273;1587121201101;3;0;4;234
1587121201570;1587121201539;8;0;5;256
1587121201593;1587121201540;4;0;2;272
1587121201698;1587121201540;3;0;4;235
1587121201991;1587121201961;8;0;5;257
1587121202019;1587121201960;4;0;2;273
1587121202138;1587121201960;3;0;4;236
1587121202420;1587121202368;8;0;5;258
1587121202449;1587121202369;4;0;2;274
1587121202565;1587121202369;3;0;4;237
1587121202846;1587121202813;8;0;5;259
1587121202873;1587121202812;3;0;2;275
1587121202970;1587121202811;3;0;4;238
1587121203728;1587121203692;7;0;5;261
1587121203749;1587121203692;3;0;2;276
1587121204127;1587121204078;7;0;5;262
1587121204147;1587121204079;3;0;2;277
1587121204274;1587121204080;3;0;4;239
1587121204624;1587121204554;7;0;5;263
1587121204659;1587121204554;4;0;2;278
1587121204739;1587121204553;3;0;4;240
1587121205020;1587121204927;7;0;5;264
1587121205047;1587121204930;3;0;2;279
1587121205144;1587121204928;3;0;4;241
1587121205461;1587121205373;7;0;5;265
1587121205491;1587121205371;3;0;2;280
1587121205589;1587121205371;3;0;4;242
1587121205842;1587121205766;7;0;5;266
1587121205861;1587121205767;3;0;2;281
1587121205945;1587121205767;3;0;4;243
1587121206208;1587121206132;7;0;5;267
1587121206236;1587121206132;4;0;2;282
1587121206356;1587121206132;3;0;4;244
1587121206586;1587121206524;7;0;5;268
1587121206607;1587121206523;4;0;2;283
1587121206708;1587121206132;3;0;4;244
1587121207006;1587121201101;8;0;5;255
1587121207030;1587121206909;4;0;2;284
1587121207156;1587121206909;3;0;4;245
1587121207506;1587121207384;6;0;5;270
1587121207524;1587121207383;4;0;2;285
1587121207623;1587121207383;3;0;4;246
1587121207984;1587121207841;7;0;5;271
1587121208008;1587121207842;4;0;2;286
1587121208104;1587121207841;3;0;4;247
1587121208424;1587121208308;7;0;5;272
1587121208456;1587121208307;4;0;2;287
1587121208560;1587121208308;3;0;4;248
1587121208884;1587121208753;7;0;5;273
1587121208918;1587121208754;4;0;2;288
1587121209347;1587121209198;6;0;5;274
1587121209380;1587121209198;4;0;2;289
1587121209477;1587121208754;3;0;4;249
1587121209758;1587121209647;7;0;5;275
1587121210180;1587121210034;7;0;5;276
1587121210203;1587121210033;4;0;2;290
1587121210305;1587121209647;3;0;4;250
1587121210595;1587121210484;7;0;5;277
1587121210621;1587121210485;4;0;2;291
1587121210725;1587121210485;3;0;4;251
1587121210986;1587121210885;7;0;5;278
1587121211018;1587121210884;4;0;2;292
1587121211126;1587121210885;3;0;4;252
1587121211378;1587121211256;7;0;5;279
1587121211405;1587121211256;4;0;2;293
1587121211497;1587121211256;3;0;4;253
1587121211759;1587121211646;6;0;5;280
1587121211780;1587121211645;4;0;2;294
1587121211872;1587121211645;3;0;4;254
1587121212123;1587121212021;7;0;5;281
1587121212141;1587121212021;4;0;2;295
1587121212232;1587121212021;3;0;4;255
1587121212482;1587121212363;7;0;5;282
1587121212509;1587121212363;4;0;2;296
1587121212594;1587121212363;3;0;4;256
1587121212835;1587121212736;7;0;5;283
1587121212860;1587121212737;4;0;2;297
1587121212953;1587121212736;3;0;4;257
1587121213237;1587121213102;7;0;5;284
1587121213342;1587121213102;3;0;4;258
1587121213624;1587121213488;7;0;5;285
1587121213646;1587121213489;3;0;2;298
1587121213742;1587121183123;3;0;4;197
1587121214017;1587121213891;7;0;5;286
1587121214049;1587121213890;4;0;2;299
1587121214167;1587121213891;3;0;4;259
1587121214430;1587121214290;7;0;5;287
1587121214455;1587121214291;4;0;2;300
1587121214546;1587121183123;3;0;4;197
1587121214863;1587121214684;6;0;5;288
1587121214892;1587121214684;4;0;2;301
1587121215270;1587121215129;6;0;5;289
1587121215303;1587121215130;4;0;2;302
1587121215425;1587121214684;4;0;4;260
1587121215664;1587121215523;7;0;5;290
1587121215772;1587121215523;3;0;4;261
1587121215992;1587121215859;7;0;5;291
1587121216011;1587121215861;4;0;2;303
1587121216118;1587121215859;4;0;4;262
1587121216393;1587121216255;6;0;5;292
